City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
waingapu,-9.6567,120.2641,78.85,80,100,5.61,ID,1615301865
bengkulu,-3.8004,102.2655,77.52,80,100,5.01,ID,1615301866
oussouye,12.485,-16.5469,96.8,23,0,6.91,SN,1615301866
thompson,55.7435,-97.8558,-4.0,84,75,2.3,CA,1615301866
novyy urengoy,66.0833,76.6333,-28.66,85,15,9.24,RU,1615301867
constitucion,-35.3333,-72.4167,68.85,46,0,3.53,CL,1615301867
kurchum,48.5722,83.6542,25.9,97,87,3.0,KZ,1615301867
deputatskiy,69.3,139.9,-15.75,89,99,4.32,RU,1615301867
alyangula,-13.8483,136.4192,78.8,89,67,9.46,AU,1615301867
teloes,41.3105,-8.111,60.01,41,39,1.01,PT,1615301868
prince george,53.9166,-122.753,24.01,86,1,3.0,CA,1615301868
tocopilla,-22.092,-70.1979,74.35,53,4,4.59,CL,1615301868
hermanus,-34.4187,19.2345,72.0,58,88,13.0,ZA,1615301868
mtsensk,53.2766,36.5733,11.64,94,91,7.16,RU,1615301869
sitka,57.0531,-135.33,28.4,74,1,3.44,US,1615301869
avarua,-21.2078,-159.775,77.0,94,75,11.5,CK,1615301869
jalu,29.0331,21.5482,87.15,14,31,18.68,LY,1615301869
clyde river,70.4692,-68.5914,-2.2,78,90,13.8,CA,1615301869
sayyan,15.1718,44.3244,66.45,29,0,3.4,YE,1615301870
raudeberg,61.9875,5.1352,41.0,65,37,12.84,NO,1615301870
celestun,20.8667,-90.4,73.78,69,1,11.45,MX,1615301870
ayutla,20.1167,-104.3333,71.53,24,0,3.29,MX,1615301870
mar del plata,-38.0023,-57.5575,64.4,59,40,9.22,AR,1615301871
melito di porto salvo,37.9222,15.7714,60.8,72,88,9.22,IT,1615301871
provideniya,64.3833,-173.3,3.15,92,100,5.55,RU,1615301871
mount gambier,-37.8333,140.7667,48.2,93,40,4.23,AU,1615301871
mount isa,-20.7333,139.5,80.6,65,40,11.5,AU,1615301868
don benito,38.9563,-5.8616,60.01,54,0,5.01,ES,1615301872
lithakia,37.7167,20.8333,68.0,52,20,4.61,GR,1615301872
san patricio,28.017,-97.5169,71.01,94,75,10.36,US,1615301873
rorvik,64.8621,11.2373,32.0,64,0,14.97,NO,1615301873
port hedland,-20.3167,118.5667,82.4,83,0,9.22,AU,1615301873
paamiut,61.994,-49.6678,19.4,88,37,4.47,GL,1615301873
vryheid,-27.7695,30.7917,75.96,51,70,6.35,ZA,1615301874
shelburne,44.0787,-80.2041,41.0,75,1,8.05,CA,1615301874
saint-joseph,-21.3667,55.6167,82.4,74,20,12.66,RE,1615301874
lleida,41.6167,0.6167,59.0,62,20,10.36,ES,1615301874
mora,11.0461,14.1401,107.6,5,0,3.91,CM,1615301875
quime,-16.9833,-67.2167,58.48,48,81,6.53,BO,1615301875
otta,61.7712,9.5353,31.71,90,18,1.25,NO,1615301875
gold coast,-28.0,153.4333,70.0,100,0,5.23,AU,1615301876
tongren,27.7172,109.1853,46.76,83,100,4.36,CN,1615301876
kuryk,43.2,51.65,37.44,78,27,10.13,KZ,1615301876
iquique,-20.2208,-70.1431,73.4,64,0,11.5,CL,1615301876
barranca,-10.75,-77.7667,76.68,63,94,3.62,PE,1615301876
tetiz,20.9667,-89.9333,75.99,78,20,9.22,MX,1615301876
kavieng,-2.5744,150.7967,81.81,79,1,10.54,PG,1615301877
kalmunai,7.4167,81.8167,80.15,76,0,6.82,LK,1615301877
hervey bay,-25.2986,152.8535,78.01,73,0,3.0,AU,1615301877
podor,16.6527,-14.9587,91.58,12,19,14.29,MR,1615301877
bethel,41.3712,-73.414,51.01,34,1,9.22,US,1615301877
dwarka,22.2394,68.9678,75.99,81,0,9.13,IN,1615301877
ajaccio,42.0,8.9167,57.2,88,90,9.22,FR,1615301878
matay,28.419,30.7792,88.83,12,0,5.68,EG,1615301878
mahebourg,-20.4081,57.7,82.4,74,40,5.75,MU,1615301878
nago,26.5881,127.9761,68.0,82,20,5.75,JP,1615301878
saint-philippe,-21.3585,55.7679,82.4,74,20,12.66,RE,1615301878
guozhen,34.3659,107.359,48.88,60,47,1.74,CN,1615301879
cherskiy,68.75,161.3,-14.33,87,100,12.82,RU,1615301879
haines junction,60.7522,-137.5108,-16.6,69,0,1.14,CA,1615301879
saint-max,48.7043,6.21,51.8,53,90,4.61,FR,1615301879
mana,5.6592,-53.7767,80.76,82,99,13.4,GF,1615301880
santa rosa,14.3122,121.1114,80.6,69,40,4.61,PH,1615301880
labuhan,-6.8844,112.2051,76.57,87,100,2.26,ID,1615301880
tambura,5.6,27.4667,96.73,21,84,2.39,SS,1615301880
kangundo,-1.2979,37.3471,80.6,34,20,18.41,KE,1615301880
ancud,-41.8697,-73.8203,64.99,82,40,13.8,CL,1615301881
blagoyevo,63.3667,47.9167,-11.18,89,58,3.78,RU,1615301881
santa maria,-29.6842,-53.8069,80.55,45,0,7.05,BR,1615301881
srednekolymsk,67.45,153.6833,-15.32,85,100,10.47,RU,1615301882
macomer,40.262,8.7699,59.0,67,40,11.5,IT,1615301882
robertsport,6.7533,-11.3686,81.81,76,71,8.28,LR,1615301882
sola,-13.8833,167.55,81.19,77,53,5.86,VU,1615301882
faanui,-16.4833,-151.75,82.44,72,57,14.94,PF,1615301882
okha,53.5739,142.9478,17.06,96,100,9.82,RU,1615301883
sakakah,29.9697,40.2064,75.2,17,0,9.22,SA,1615301883
birao,10.2849,22.7882,103.19,7,0,6.02,CF,1615301883
san pedro,14.35,121.0167,80.6,69,40,4.61,PH,1615301884
port lincoln,-34.7333,135.8667,60.91,81,90,15.61,AU,1615301884
khani,41.9563,42.9566,51.8,37,75,8.05,GE,1615301884
nouadhibou,20.931,-17.0347,75.2,43,0,20.71,MR,1615301884
teguise,29.0605,-13.564,66.2,55,75,24.16,ES,1615301885
rudbar,30.15,62.6,77.41,16,0,8.9,AF,1615301885
te anau,-45.4167,167.7167,52.23,82,100,6.11,NZ,1615301885
tselinnoye,53.0833,85.6667,13.28,91,96,5.28,RU,1615301886
redding,40.5865,-122.3917,42.01,87,90,3.44,US,1615301860
kuching,1.55,110.3333,77.0,94,20,1.45,MY,1615301886
san policarpo,12.1791,125.5072,79.39,78,100,15.05,PH,1615301886
warragul,-38.1667,145.9333,53.01,88,18,1.63,AU,1615301886
nhulunbuy,-12.2333,136.7667,78.8,89,40,6.91,AU,1615301887
bambanglipuro,-7.95,110.2833,76.96,87,77,1.43,ID,1615301887
bukama,-9.2,25.85,79.41,79,38,3.33,CD,1615301887
butaritari,3.0707,172.7902,79.93,80,33,8.61,KI,1615301887
livingston,55.9029,-3.5226,50.0,71,40,11.5,GB,1615301856
puertollano,38.6871,-4.1073,54.0,69,16,10.0,ES,1615301661
kahului,20.8947,-156.47,69.8,88,75,10.36,US,1615301662
san quintin,30.4833,-115.95,55.83,76,83,13.47,MX,1615301888
cayenne,4.9333,-52.3333,84.2,70,75,13.8,GF,1615301888
socastee,33.6835,-78.9984,61.0,58,1,6.91,US,1615301889
maldonado,-34.6667,-54.9167,73.99,68,75,12.66,UY,1615301889
laredo,27.5064,-99.5075,66.2,88,90,13.8,US,1615301889
margate,51.3813,1.3862,53.01,56,57,1.01,GB,1615301890
kifri,34.6959,44.9661,65.35,42,50,5.79,IQ,1615301890
yumen,40.2833,97.2,44.04,53,0,7.4,CN,1615301890
klaksvik,62.2266,-6.589,44.6,93,100,26.46,FO,1615301890
lagoa,39.05,-27.9833,59.94,94,57,18.7,PT,1615301891
cockburn town,21.4612,-71.1419,77.0,61,75,17.27,TC,1615301891
praia,14.9215,-23.5087,75.2,57,20,26.46,CV,1615301892
kluczbork,50.9728,18.2182,36.0,68,98,2.75,PL,1615301892
pyatnitskoye,50.4233,37.8273,24.58,85,100,11.41,RU,1615301892
teeli,51.0333,90.2333,21.33,88,0,1.66,RU,1615301892
la union,-5.4,-80.75,75.83,80,100,3.98,PE,1615301893
ambovombe,-25.1667,46.0833,77.77,73,0,17.11,MG,1615301723
ulaangom,49.9811,92.0667,7.75,92,0,1.74,MN,1615301893
nome,64.5011,-165.4064,6.01,96,100,1.83,US,1615301893
krutinka,56.0055,71.5113,21.06,96,100,16.11,RU,1615301893
colti,45.3833,26.3833,39.0,93,100,4.18,RO,1615301894
la rioja,42.25,-2.5,48.0,57,75,9.22,ES,1615301894
el retorno,2.3302,-72.6276,84.09,63,97,6.31,CO,1615301894
beringovskiy,63.05,179.3167,-23.04,85,97,3.65,RU,1615301895
prince rupert,54.3161,-130.3201,39.2,86,1,3.44,CA,1615301895
tuy hoa,13.0833,109.3,74.7,88,70,5.35,VN,1615301895
qasigiannguit,68.8193,-51.1922,17.6,49,20,9.22,GL,1615301896
atherton,53.5237,-2.4935,52.0,63,100,5.99,GB,1615301896
puga,21.5833,-104.8167,44.6,87,40,3.04,MX,1615301896
namatanai,-3.6667,152.4333,78.89,81,17,7.07,PG,1615301897
sterling,39.0062,-77.4286,57.2,32,75,6.91,US,1615301786
egvekinot,66.3167,-179.1667,-35.84,87,38,0.81,RU,1615301897
gaspe,48.8334,-64.4819,23.0,68,20,2.53,CA,1615301863
rongcheng,30.634,117.8517,50.27,86,91,3.78,CN,1615301897
tsumeb,-19.2333,17.7167,84.2,34,40,5.75,NA,1615301897
talnakh,69.4865,88.3972,-17.27,87,100,4.99,RU,1615301898
muzhi,65.3667,64.6667,-24.84,82,24,5.79,RU,1615301898
keti bandar,24.1447,67.4497,74.23,76,0,9.4,PK,1615301898
sistranda,63.7256,8.834,35.6,87,75,12.66,NO,1615301898
elizabeth city,36.2946,-76.2511,55.99,54,1,9.22,US,1615301738
husavik,66.0449,-17.3389,35.6,75,75,6.91,IS,1615301832
namibe,-15.1961,12.1522,82.4,65,40,20.71,AO,1615301899
guerrero negro,27.9769,-114.0611,58.33,76,100,16.46,MX,1615301899
chumikan,54.7183,135.315,11.59,92,0,9.98,RU,1615301899
juneau,58.3019,-134.4197,19.4,86,1,4.76,US,1615301900
asosa,10.0667,34.5333,87.39,15,64,3.91,ET,1615301900
masingbi,8.7833,-11.95,100.02,33,59,3.24,SL,1615301900
saint george,37.1041,-113.5841,48.99,36,1,5.75,US,1615301804
chara,56.9064,118.2631,8.2,84,100,2.73,RU,1615301901
nemuro,43.3236,145.575,32.85,94,0,18.97,JP,1615301901
sao miguel,-5.4667,-35.3667,87.8,58,40,13.8,BR,1615301604
nalut,30.3333,10.85,74.73,20,0,4.83,LY,1615301902
cairns,-16.9167,145.7667,78.8,78,90,4.61,AU,1615301714
verkhnyaya inta,65.9811,60.3094,-14.37,89,100,7.78,RU,1615301902
gat,31.61,34.7642,73.0,52,8,3.0,IL,1615301902
saskylakh,71.9167,114.0833,-26.61,85,52,2.3,RU,1615301902
padang,-0.9492,100.3543,73.4,100,75,4.81,ID,1615301902
kovdor,67.5662,30.4758,6.04,94,71,3.0,RU,1615301903
am timan,11.0297,20.2827,105.62,7,0,4.32,TD,1615301903
stargard szczecinski,53.3367,15.0499,42.01,38,0,3.44,PL,1615301903
luderitz,-26.6481,15.1594,70.05,55,0,11.39,NA,1615301903
krasnoselkup,65.7,82.4667,-25.98,85,49,9.8,RU,1615301904
saint anthony,45.0205,-93.218,51.8,54,40,11.5,US,1615301904
bonavista,48.6499,-53.1147,28.99,74,100,8.05,CA,1615301904
lasa,46.6166,10.7002,55.4,56,40,5.75,IT,1615301904
vila,42.0304,-8.1588,57.99,43,87,5.01,PT,1615301905
port hardy,50.6996,-127.4199,41.0,87,75,10.36,CA,1615301905
faya,18.3851,42.4509,75.2,46,20,9.22,SA,1615301905
skjervoy,70.0311,20.9714,24.8,54,0,11.5,NO,1615301906
jinan,36.6683,116.9972,54.0,66,0,1.01,CN,1615301906
huangzhai,38.0751,112.6595,44.6,57,11,6.71,CN,1615301906
katherine,-14.4667,132.2667,77.0,88,75,9.22,AU,1615301907
piacabucu,-10.4056,-36.4344,87.08,54,1,12.48,BR,1615301907
inuvik,68.3499,-133.7218,-4.0,77,19,11.5,CA,1615301907
rodez,44.5,2.5833,51.01,37,0,14.97,FR,1615301908
vallenar,-28.5708,-70.7581,75.16,52,45,5.03,CL,1615301710
kosh-agach,50.0,88.6667,7.97,83,0,2.13,RU,1615301908
biltine,14.5333,20.9167,101.44,7,0,7.4,TD,1615301908
contai,21.7786,87.7536,77.4,72,0,13.35,IN,1615301908
alakurtti,66.9672,30.3491,10.0,75,53,3.0,RU,1615301909
cibitoke,-2.8833,29.25,66.54,86,100,1.68,BI,1615301909
chuchkovo,54.2693,41.4465,10.89,95,100,7.85,RU,1615301909
kenai,60.5544,-151.2583,24.01,93,90,5.75,US,1615301910
doba,8.65,16.85,106.36,10,0,4.05,TD,1615301910
komsomolskiy,40.4272,71.7189,55.4,50,97,5.55,UZ,1615301910
raga,8.4596,25.678,101.44,8,0,5.32,SS,1615301910
puerto ayacucho,5.6639,-67.6236,88.47,51,93,10.94,VE,1615301910
sernur,56.9333,49.1536,11.01,96,100,6.89,RU,1615301911
newport,51.5877,-2.9984,51.01,66,99,1.99,GB,1615301911
kamenka,51.3223,42.7678,12.58,96,99,9.75,RU,1615301911
manta,-0.95,-80.7333,77.0,83,75,3.44,EC,1615301911
chiredzi,-21.05,31.6667,86.52,45,0,7.63,ZW,1615301911
whitehorse,60.7161,-135.0538,-9.4,77,1,3.44,CA,1615301784
dingle,10.9995,122.6711,75.15,84,9,10.09,PH,1615301912
nushki,29.5542,66.0215,67.96,22,0,2.66,PK,1615301912
hokitika,-42.7167,170.9667,55.58,87,100,6.46,NZ,1615301913
shenjiamen,29.9576,122.298,50.29,86,40,7.67,CN,1615301913
quang ngai,15.1167,108.8,70.77,86,0,2.21,VN,1615301913
mumford,5.2618,-0.759,84.34,73,89,15.84,GH,1615301913
paita,-5.0892,-81.1144,75.2,94,75,4.61,PE,1615301914
opuwo,-18.0607,13.84,89.22,22,82,5.46,NA,1615301914
pareora,-44.4871,171.2132,55.99,93,100,8.28,NZ,1615301914
lompoc,34.6391,-120.4579,41.0,93,20,5.08,US,1615301914
pacific grove,36.6177,-121.9166,48.0,66,1,8.05,US,1615301914
mwanza,-2.5167,32.9,77.0,57,20,5.75,TZ,1615301914
van,38.4924,43.3831,41.0,33,40,5.75,TR,1615301915
gushikawa,26.3544,127.8686,68.0,82,20,5.75,JP,1615301915
biritiba-mirim,-23.5698,-46.0407,82.0,69,40,3.44,BR,1615301915
pangai,-19.8,-174.35,77.09,63,65,14.76,TO,1615301916
tazovskiy,67.4667,78.7,-22.76,87,97,9.08,RU,1615301916
brodokalmak,55.5748,62.082,23.0,68,20,6.71,RU,1615301916
edd,13.9297,41.6925,90.1,35,0,24.74,ER,1615301917
daru,-9.0763,143.2092,80.26,83,100,11.41,PG,1615301917
vanderhoof,54.0166,-124.0198,21.88,97,62,2.91,CA,1615301917
flin flon,54.7682,-101.865,6.8,66,75,3.44,CA,1615301918
terrasini,38.146,13.0844,66.2,52,40,14.97,IT,1615301918
coos bay,43.3665,-124.2179,42.8,81,90,11.5,US,1615301918
chalus,36.655,51.4204,48.2,93,90,6.91,IR,1615301918
uray,60.1247,64.7758,-4.45,92,61,3.94,RU,1615301919
xingtai,37.0631,114.4942,53.08,58,0,9.69,CN,1615301919
madimba,-10.4,40.3333,84.2,79,40,17.27,TZ,1615301919
ixtapa,20.7,-105.2,64.4,88,75,2.57,MX,1615301919
novobessergenevka,47.1847,38.8462,35.01,55,76,15.99,RU,1615301919
neiafu,-18.65,-173.9833,66.2,100,40,15.3,TO,1615301920
kjopsvik,68.097,16.3742,26.6,54,0,11.5,NO,1615301920
aykhal,66.0,111.5,8.35,93,100,11.18,RU,1615301763
mirabad,30.4362,61.8383,71.2,19,0,1.34,AF,1615301920
bonthe,7.5264,-12.505,86.13,62,56,12.21,SL,1615301921
cortez,37.3489,-108.5859,37.0,69,1,3.44,US,1615301921
sacramento,38.4666,-121.3177,42.8,87,75,6.91,US,1615301903
awbari,26.5921,12.7805,86.77,12,16,2.82,LY,1615301921
linjiang,41.8069,126.9078,25.95,88,0,1.23,CN,1615301922
qeshm,26.9581,56.2719,75.2,78,0,13.8,IR,1615301922
barra patuca,15.8,-84.2833,78.48,85,99,12.1,HN,1615301922
betong,5.7743,101.0723,70.07,80,49,2.51,TH,1615301922
taoudenni,22.6783,-3.9836,88.72,12,0,17.67,ML,1615301923
yeppoon,-23.1333,150.7333,73.4,78,0,3.65,AU,1615301923
pyrzyce,53.1462,14.8926,43.0,30,0,1.99,PL,1615301923
gorele,41.0308,39.0031,48.2,71,40,5.75,TR,1615301923
ashland,40.8167,-82.2665,53.01,50,1,5.75,US,1615301726
teruel,40.6667,-0.6667,53.6,49,0,12.66,ES,1615301924
santa cruz,-17.8,-63.1667,84.2,65,40,6.91,BO,1615301848
the valley,18.217,-63.0578,84.2,65,20,16.11,AI,1615301924
beyneu,45.3167,55.2,33.78,90,83,6.82,KZ,1615301924
kindu,-2.95,25.95,90.14,48,50,0.87,CD,1615301925
baruun-urt,46.6806,113.2792,25.7,94,65,8.41,MN,1615301925
tervel,43.75,27.4,48.99,76,100,4.0,BG,1615301925
aksu,41.1231,80.2644,48.61,49,41,4.43,CN,1615301925
gra liyia,35.0167,25.6833,66.0,63,10,10.92,GR,1615301926
coolum beach,-26.5333,153.1,73.0,92,0,6.82,AU,1615301926
sao paulo de olivenca,-3.3783,-68.8725,72.55,98,100,1.63,BR,1615301926
sao jose da coroa grande,-8.8978,-35.1478,84.52,68,40,10.33,BR,1615301922
shingu,33.7333,135.9833,50.86,84,75,6.29,JP,1615301926
